report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-07,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14715,81,17,100,42,34,0,817
2024-07,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14681,43,41,100,58,21,0,319
2024-07,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63722,83,20,100,19,19,0,618
2024-07,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11915,75,23,100,37,26,0,NA
2024-07,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,11922,75,17,100,40,16,0,322
2024-07,Northern Africa,Sudan,Al Jameya,Post-emergency,28882,257,12,68,NA,24,18,1805
2024-07,Northern Africa,Sudan,Al Kashafa,Post-emergency,20357,198,8,73,NA,23,20,1272
2024-07,Northern Africa,Sudan,Al Redis 1,Post-emergency,15266,216,13,69,NA,19,21,954
2024-07,Northern Africa,Sudan,Al Redis 2,Post-emergency,NA,NA,NA,NA,NA,NA,0,NA
2024-07,Northern Africa,Sudan,Alagaya,NA,NA,NA,NA,NA,NA,NA,0,NA
2024-07,Northern Africa,Sudan,Babikir,Post-emergency,2709,54,18,NA,8,8,28,1354
2024-07,Northern Africa,Sudan,Dabat Bosin,Post-emergency,28802,386,4,76,NA,68,5,1800
2024-07,Northern Africa,Sudan,Jouri,Post-emergency,14620,229,9,90,NA,33,11,NA
2024-07,Northern Africa,Sudan,Khor Alwarel,Post-emergency,NA,NA,NA,NA,NA,NA,0,NA
2024-07,Northern Africa,Sudan,Tunaydba,Post-emergency,22677,51,23,16,9,7,14,515
2024-07,Northern Africa,Sudan,Um Gargour,Post-emergency,15082,180,37,100,685,114,1,7541
2024-07,Northern Africa,Sudan,Um Rakuba,Post-emergency,16993,51,23,93,8,9,11,606
2024-07,Northern Africa,Sudan,Um Sangour,Post-emergency,NA,NA,NA,NA,NA,NA,0,NA
2024-06,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6268,56,16,NA,17,7,62,1044
2024-06,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,21043,141,17,100,17,12,41,1169
